record_id,service_type,service_type_label,name,latitude,longitude,district,neighborhood,address,phone,detail,observed_at,retrieved_at,coverage_status,source_transport,source_dataset,source_dataset_url,source_license,source_attribution
assembly:kaggle:1:38.359739740429:26.30963585461,assembly,Emergency Assembly Area,1 NO LU AFET VE ACİL DURUM TOPLANMA ALANI,38.359739740429,26.30963585461,,,,,,,2026-09-20T07:31:27.118Z,COMPLETE_FOR_MAPPABLE_ROWS,compact-proximity-endpoint,Afet toplanma alanları,https://acikveri.bizizmir.com/dataset/afet-ve-acil-durum-toplanma-alanlari,CC BY 4.0,İzmir Büyükşehir Belediyesi Açık Veri Portalı
assembly:kaggle:2:38.475945216893:27.185345692106,assembly,Emergency Assembly Area,1 NO LU AFET VE ACİL DURUM TOPLANMA ALANI,38.475945216893,27.185345692106,,,,,,,2026-09-20T07:31:27.118Z,COMPLETE_FOR_MAPPABLE_ROWS,compact-proximity-endpoint,Afet toplanma alanları,https://acikveri.bizizmir.com/dataset/afet-ve-acil-durum-toplanma-alanlari,CC BY 4.0,İzmir Büyükşehir Belediyesi Açık Veri Portalı
assembly:kaggle:3:38.628269642504:26.926994996726,assembly,Emergency Assembly Area,1 NO LU AFET VE ACİL DURUM TOPLANMA ALANI,38.628269642504,26.926994996726,,,,,,,2026-09-20T07:31:27.118Z,COMPLETE_FOR_MAPPABLE_ROWS,compact-proximity-endpoint,Afet toplanma alanları,https://acikveri.bizizmir.com/dataset/afet-ve-acil-durum-toplanma-alanlari,CC BY 4.0,İzmir Büyükşehir Belediyesi Açık Veri Portalı
assembly:kaggle:4:38.613661641089:27.185946271299,assembly,Emergency Assembly Area,1 NO LU AFET VE ACİL DURUM TOPLANMA ALANI,38.613661641089,27.185946271299,,,,,,,2026-09-20T07:31:27.118Z,COMPLETE_FOR_MAPPABLE_ROWS,compact-proximity-endpoint,Afet toplanma alanları,https://acikveri.bizizmir.com/dataset/afet-ve-acil-durum-toplanma-alanlari,CC BY 4.0,İzmir Büyükşehir Belediyesi Açık Veri Portalı
assembly:kaggle:5:39.044441364998:27.501204154956,assembly,Emergency Assembly Area,1 NO LU AFET VE ACİL DURUM TOPLANMA ALANI,39.044441364998,27.501204154956,,,,,,,2026-09-20T07:31:27.118Z,COMPLETE_FOR_MAPPABLE_ROWS,compact-proximity-endpoint,Afet toplanma alanları,https://acikveri.bizizmir.com/dataset/afet-ve-acil-durum-toplanma-alanlari,CC BY 4.0,İzmir Büyükşehir Belediyesi Açık Veri Portalı
assembly:kaggle:6:38.471997435581:27.154296601551,assembly,Emergency Assembly Area,1 NO LU AFET VE ACİL DURUM TOPLANMA ALANI,38.471997435581,27.154296601551,,,,,,,2026-09-20T07:31:27.118Z,COMPLETE_FOR_MAPPABLE_ROWS,compact-proximity-endpoint,Afet toplanma alanları,https://acikveri.bizizmir.com/dataset/afet-ve-acil-durum-toplanma-alanlari,CC BY 4.0,İzmir Büyükşehir Belediyesi Açık Veri Portalı
assembly:kaggle:7:38.46142985901:27.168662459436,assembly,Emergency Assembly Area,1 NO LU AFET VE ACİL DURUM TOPLANMA ALANI,38.46142985901,27.168662459436,,,,,,,2026-09-20T07:31:27.118Z,COMPLETE_FOR_MAPPABLE_ROWS,compact-proximity-endpoint,Afet toplanma alanları,https://acikveri.bizizmir.com/dataset/afet-ve-acil-durum-toplanma-alanlari,CC BY 4.0,İzmir Büyükşehir Belediyesi Açık Veri Portalı
assembly:kaggle:8:38.46522700509:27.194765581365,assembly,Emergency Assembly Area,1 NO LU AFET VE ACİL DURUM TOPLANMA ALANI,38.46522700509,27.194765581365,,,,,,,2026-09-20T07:31:27.118Z,COMPLETE_FOR_MAPPABLE_ROWS,compact-proximity-endpoint,Afet toplanma alanları,https://acikveri.bizizmir.com/dataset/afet-ve-acil-durum-toplanma-alanlari,CC BY 4.0,İzmir Büyükşehir Belediyesi Açık Veri Portalı
assembly:kaggle:9:38.494252973057:26.946667796092,assembly,Emergency Assembly Area,1 NO LU AFET VE ACİL DURUM TOPLANMA ALANI,38.494252973057,26.946667796092,,,,,,,2026-09-20T07:31:27.118Z,COMPLETE_FOR_MAPPABLE_ROWS,compact-proximity-endpoint,Afet toplanma alanları,https://acikveri.bizizmir.com/dataset/afet-ve-acil-durum-toplanma-alanlari,CC BY 4.0,İzmir Büyükşehir Belediyesi Açık Veri Portalı
assembly:kaggle:10:38.619454140725:27.152504644504,assembly,Emergency Assembly Area,1 NO LU AFET VE ACİL DURUM TOPLANMA ALANI,38.619454140725,27.152504644504,,,,,,,2026-09-20T07:31:27.118Z,COMPLETE_FOR_MAPPABLE_ROWS,compact-proximity-endpoint,Afet toplanma alanları,https://acikveri.bizizmir.com/dataset/afet-ve-acil-durum-toplanma-alanlari,CC BY 4.0,İzmir Büyükşehir Belediyesi Açık Veri Portalı
assembly:kaggle:11:39.016924849555:27.435947710772,assembly,Emergency Assembly Area,1 NO LU AFET VE ACİL DURUM TOPLANMA ALANI,39.016924849555,27.435947710772,,,,,,,2026-09-20T07:31:27.118Z,COMPLETE_FOR_MAPPABLE_ROWS,compact-proximity-endpoint,Afet toplanma alanları,https://acikveri.bizizmir.com/dataset/afet-ve-acil-durum-toplanma-alanlari,CC BY 4.0,İzmir Büyükşehir Belediyesi Açık Veri Portalı
assembly:kaggle:12:38.649339884481:27.164954005329,assembly,Emergency Assembly Area,1 NO LU AFET VE ACİL DURUM TOPLANMA ALANI,38.649339884481,27.164954005329,,,,,,,2026-09-20T07:31:27.118Z,COMPLETE_FOR_MAPPABLE_ROWS,compact-proximity-endpoint,Afet toplanma alanları,https://acikveri.bizizmir.com/dataset/afet-ve-acil-durum-toplanma-alanlari,CC BY 4.0,İzmir Büyükşehir Belediyesi Açık Veri Portalı
assembly:kaggle:13:38.253342172883:27.122861637517,assembly,Emergency Assembly Area,1 NO LU AFET VE ACİL DURUM TOPLANMA ALANI,38.253342172883,27.122861637517,,,,,,,2026-09-20T07:31:27.118Z,COMPLETE_FOR_MAPPABLE_ROWS,compact-proximity-endpoint,Afet toplanma alanları,https://acikveri.bizizmir.com/dataset/afet-ve-acil-durum-toplanma-alanlari,CC BY 4.0,İzmir Büyükşehir Belediyesi Açık Veri Portalı
assembly:kaggle:14:39.101779432817:27.30441267072,assembly,Emergency Assembly Area,1 NO LU AFET VE ACİL DURUM TOPLANMA ALANI,39.101779432817,27.30441267072,,,,,,,2026-09-20T07:31:27.118Z,COMPLETE_FOR_MAPPABLE_ROWS,compact-proximity-endpoint,Afet toplanma alanları,https://acikveri.bizizmir.com/dataset/afet-ve-acil-durum-toplanma-alanlari,CC BY 4.0,İzmir Büyükşehir Belediyesi Açık Veri Portalı
assembly:kaggle:15:38.249382283723:27.140875269327,assembly,Emergency Assembly Area,1 NO LU AFET VE ACİL DURUM TOPLANMA ALANI,38.249382283723,27.140875269327,,,,,,,2026-09-20T07:31:27.118Z,COMPLETE_FOR_MAPPABLE_ROWS,compact-proximity-endpoint,Afet toplanma alanları,https://acikveri.bizizmir.com/dataset/afet-ve-acil-durum-toplanma-alanlari,CC BY 4.0,İzmir Büyükşehir Belediyesi Açık Veri Portalı
assembly:kaggle:16:38.136594626074:27.194937789239,assembly,Emergency Assembly Area,1 NO LU AFET VE ACİL DURUM TOPLANMA ALANI,38.136594626074,27.194937789239,,,,,,,2026-09-20T07:31:27.118Z,COMPLETE_FOR_MAPPABLE_ROWS,compact-proximity-endpoint,Afet toplanma alanları,https://acikveri.bizizmir.com/dataset/afet-ve-acil-durum-toplanma-alanlari,CC BY 4.0,İzmir Büyükşehir Belediyesi Açık Veri Portalı
assembly:kaggle:17:38.700592487468:27.043789744744,assembly,Emergency Assembly Area,1 NO LU AFET VE ACİL DURUM TOPLANMA ALANI,38.700592487468,27.043789744744,,,,,,,2026-09-20T07:31:27.118Z,COMPLETE_FOR_MAPPABLE_ROWS,compact-proximity-endpoint,Afet toplanma alanları,https://acikveri.bizizmir.com/dataset/afet-ve-acil-durum-toplanma-alanlari,CC BY 4.0,İzmir Büyükşehir Belediyesi Açık Veri Portalı
assembly:kaggle:18:38.318896910846:26.308273376476,assembly,Emergency Assembly Area,1 NO LU AFET VE ACİL DURUM TOPLANMA ALANI,38.318896910846,26.308273376476,,,,,,,2026-09-20T07:31:27.118Z,COMPLETE_FOR_MAPPABLE_ROWS,compact-proximity-endpoint,Afet toplanma alanları,https://acikveri.bizizmir.com/dataset/afet-ve-acil-durum-toplanma-alanlari,CC BY 4.0,İzmir Büyükşehir Belediyesi Açık Veri Portalı
assembly:kaggle:19:38.656323431745:27.159446104347,assembly,Emergency Assembly Area,1 NO LU AFET VE ACİL DURUM TOPLANMA ALANI,38.656323431745,27.159446104347,,,,,,,2026-09-20T07:31:27.118Z,COMPLETE_FOR_MAPPABLE_ROWS,compact-proximity-endpoint,Afet toplanma alanları,https://acikveri.bizizmir.com/dataset/afet-ve-acil-durum-toplanma-alanlari,CC BY 4.0,İzmir Büyükşehir Belediyesi Açık Veri Portalı
assembly:kaggle:20:38.637053142491:27.178955088285,assembly,Emergency Assembly Area,1 NO LU AFET VE ACİL DURUM TOPLANMA ALANI,38.637053142491,27.178955088285,,,,,,,2026-09-20T07:31:27.118Z,COMPLETE_FOR_MAPPABLE_ROWS,compact-proximity-endpoint,Afet toplanma alanları,https://acikveri.bizizmir.com/dataset/afet-ve-acil-durum-toplanma-alanlari,CC BY 4.0,İzmir Büyükşehir Belediyesi Açık Veri Portalı
assembly:kaggle:21:38.191912386161:27.552198094748,assembly,Emergency Assembly Area,1 NO LU AFET VE ACİL DURUM TOPLANMA ALANI,38.191912386161,27.552198094748,,,,,,,2026-09-20T07:31:27.118Z,COMPLETE_FOR_MAPPABLE_ROWS,compact-proximity-endpoint,Afet toplanma alanları,https://acikveri.bizizmir.com/dataset/afet-ve-acil-durum-toplanma-alanlari,CC BY 4.0,İzmir Büyükşehir Belediyesi Açık Veri Portalı
assembly:kaggle:22:38.24506889888:27.779270012113,assembly,Emergency Assembly Area,1 NO LU AFET VE ACİL DURUM TOPLANMA ALANI,38.24506889888,27.779270012113,,,,,,,2026-09-20T07:31:27.118Z,COMPLETE_FOR_MAPPABLE_ROWS,compact-proximity-endpoint,Afet toplanma alanları,https://acikveri.bizizmir.com/dataset/afet-ve-acil-durum-toplanma-alanlari,CC BY 4.0,İzmir Büyükşehir Belediyesi Açık Veri Portalı
assembly:kaggle:23:38.052700154702:27.052288047645,assembly,Emergency Assembly Area,1 NO LU AFET VE ACİL DURUM TOPLANMA ALANI,38.052700154702,27.052288047645,,,,,,,2026-09-20T07:31:27.118Z,COMPLETE_FOR_MAPPABLE_ROWS,compact-proximity-endpoint,Afet toplanma alanları,https://acikveri.bizizmir.com/dataset/afet-ve-acil-durum-toplanma-alanlari,CC BY 4.0,İzmir Büyükşehir Belediyesi Açık Veri Portalı
assembly:kaggle:24:39.032391422406:27.513562393481,assembly,Emergency Assembly Area,1 NO LU AFET VE ACİL DURUM TOPLANMA ALANI,39.032391422406,27.513562393481,,,,,,,2026-09-20T07:31:27.118Z,COMPLETE_FOR_MAPPABLE_ROWS,compact-proximity-endpoint,Afet toplanma alanları,https://acikveri.bizizmir.com/dataset/afet-ve-acil-durum-toplanma-alanlari,CC BY 4.0,İzmir Büyükşehir Belediyesi Açık Veri Portalı
assembly:kaggle:25:38.20022814358:27.50289664516,assembly,Emergency Assembly Area,1 NO LU AFET VE ACİL DURUM TOPLANMA ALANI,38.20022814358,27.50289664516,,,,,,,2026-09-20T07:31:27.118Z,COMPLETE_FOR_MAPPABLE_ROWS,compact-proximity-endpoint,Afet toplanma alanları,https://acikveri.bizizmir.com/dataset/afet-ve-acil-durum-toplanma-alanlari,CC BY 4.0,İzmir Büyükşehir Belediyesi Açık Veri Portalı
assembly:kaggle:26:38.242978648396:27.214850232709,assembly,Emergency Assembly Area,1 NO LU AFET VE ACİL DURUM TOPLANMA ALANI,38.242978648396,27.214850232709,,,,,,,2026-09-20T07:31:27.118Z,COMPLETE_FOR_MAPPABLE_ROWS,compact-proximity-endpoint,Afet toplanma alanları,https://acikveri.bizizmir.com/dataset/afet-ve-acil-durum-toplanma-alanlari,CC BY 4.0,İzmir Büyükşehir Belediyesi Açık Veri Portalı
assembly:kaggle:27:38.333336358164:26.896409095239,assembly,Emergency Assembly Area,1 NO LU AFET VE ACİL DURUM TOPLANMA ALANI,38.333336358164,26.896409095239,,,,,,,2026-09-20T07:31:27.118Z,COMPLETE_FOR_MAPPABLE_ROWS,compact-proximity-endpoint,Afet toplanma alanları,https://acikveri.bizizmir.com/dataset/afet-ve-acil-durum-toplanma-alanlari,CC BY 4.0,İzmir Büyükşehir Belediyesi Açık Veri Portalı
assembly:kaggle:28:38.31212895716:26.336291603959,assembly,Emergency Assembly Area,1 NO LU AFET VE ACİL DURUM TOPLANMA ALANI,38.31212895716,26.336291603959,,,,,,,2026-09-20T07:31:27.118Z,COMPLETE_FOR_MAPPABLE_ROWS,compact-proximity-endpoint,Afet toplanma alanları,https://acikveri.bizizmir.com/dataset/afet-ve-acil-durum-toplanma-alanlari,CC BY 4.0,İzmir Büyükşehir Belediyesi Açık Veri Portalı
