record_id,service_type,service_type_label,name,latitude,longitude,district,neighborhood,address,phone,detail,observed_at,retrieved_at,coverage_status,source_transport,source_dataset,source_dataset_url,source_license,source_attribution
pharmacy:-1:38.423822:27.196828,duty_pharmacy,Duty Pharmacy,ESRA BAY ECZANESİ,38.423822,27.196828,ALTINDAĞ,,SERİNTEPE MH. 4304 SK. NO:27/1A,02324585852,24:00DEN SONRA- ÇAMDİBİ,2026-09-20T08:00:00,2026-09-20T07:31:15.753Z,COMPLETE_FOR_MAPPABLE_ROWS,api,Nöbetçi eczaneler,https://acikveri.bizizmir.com/dataset/nobetci-eczaneler-ve-eczane-listesi,CC BY 4.0,İzmir Büyükşehir Belediyesi Açık Veri Portalı
pharmacy:-1:38.391557:27.0516,duty_pharmacy,Duty Pharmacy,YEŞİLDERE ECZANESİ,38.391557,27.0516,BALÇOVA,,ONUR MAH.MANOLYA SOK. NO.42,02322792242,,2026-09-20T08:00:00,2026-09-20T07:31:15.753Z,COMPLETE_FOR_MAPPABLE_ROWS,api,Nöbetçi eczaneler,https://acikveri.bizizmir.com/dataset/nobetci-eczaneler-ve-eczane-listesi,CC BY 4.0,İzmir Büyükşehir Belediyesi Açık Veri Portalı
pharmacy:94:38.397276:27.105395,duty_pharmacy,Duty Pharmacy,BAŞKENT ECZANESİ,38.397276,27.105395,BASIN SİTESİ,,BASINSİTESİ MAH. 177/5 SOK. NO:19/C,02322446361,,2026-09-20T08:00:00,2026-09-20T07:31:15.753Z,COMPLETE_FOR_MAPPABLE_ROWS,api,Nöbetçi eczaneler,https://acikveri.bizizmir.com/dataset/nobetci-eczaneler-ve-eczane-listesi,CC BY 4.0,İzmir Büyükşehir Belediyesi Açık Veri Portalı
pharmacy:-1:38.475921:27.181144,duty_pharmacy,Duty Pharmacy,IŞIL ECZANESİ,38.475921,27.181144,BAYRAKLI,,REFİK ŞEVKET İNCE MAH. 2143 SOK. NO:9/B,02323711525,,2026-09-20T08:00:00,2026-09-20T07:31:15.753Z,COMPLETE_FOR_MAPPABLE_ROWS,api,Nöbetçi eczaneler,https://acikveri.bizizmir.com/dataset/nobetci-eczaneler-ve-eczane-listesi,CC BY 4.0,İzmir Büyükşehir Belediyesi Açık Veri Portalı
pharmacy:-1:38.467885:27.219934,duty_pharmacy,Duty Pharmacy,BORNOVA EMEK ECZANESİ,38.467885,27.219934,BORNOVA 1,,ERGENE MAH. 454/1 SOK. NO:4/1B,02323422122,,2026-09-20T08:00:00,2026-09-20T07:31:15.753Z,COMPLETE_FOR_MAPPABLE_ROWS,api,Nöbetçi eczaneler,https://acikveri.bizizmir.com/dataset/nobetci-eczaneler-ve-eczane-listesi,CC BY 4.0,İzmir Büyükşehir Belediyesi Açık Veri Portalı
pharmacy:-1:38.458756:27.209818,duty_pharmacy,Duty Pharmacy,YEŞİL ECZANESİ,38.458756,27.209818,BORNOVA 2,,KAZIM DİRİK MAH. ANKARA CAD. NO:237/1B,02323881895,,2026-09-20T08:00:00,2026-09-20T07:31:15.753Z,COMPLETE_FOR_MAPPABLE_ROWS,api,Nöbetçi eczaneler,https://acikveri.bizizmir.com/dataset/nobetci-eczaneler-ve-eczane-listesi,CC BY 4.0,İzmir Büyükşehir Belediyesi Açık Veri Portalı
pharmacy:3849:38.453521:27.182574,duty_pharmacy,Duty Pharmacy,ÇAKIROĞLU ECZANESİ,38.453521,27.182574,BORNOVA 3,,MANSUROĞLU MH. 286 SK. NO:29/A,02324350283,,2026-09-20T08:00:00,2026-09-20T07:31:15.753Z,COMPLETE_FOR_MAPPABLE_ROWS,api,Nöbetçi eczaneler,https://acikveri.bizizmir.com/dataset/nobetci-eczaneler-ve-eczane-listesi,CC BY 4.0,İzmir Büyükşehir Belediyesi Açık Veri Portalı
pharmacy:-1:38.395497:27.126934,duty_pharmacy,Duty Pharmacy,ÇALIKUSU ECZANESİ,38.395497,27.126934,BOZYAKA,,ESKİ İZMİR CD. NO:122,02322562622,,2026-09-20T08:00:00,2026-09-20T07:31:15.753Z,COMPLETE_FOR_MAPPABLE_ROWS,api,Nöbetçi eczaneler,https://acikveri.bizizmir.com/dataset/nobetci-eczaneler-ve-eczane-listesi,CC BY 4.0,İzmir Büyükşehir Belediyesi Açık Veri Portalı
pharmacy:7998:38.386037:27.170965,duty_pharmacy,Duty Pharmacy,MAT ECZANESİ,38.386037,27.170965,BUCA 1,,UĞUR MUMCU CD. 31/G,02324200131,,2026-09-20T08:00:00,2026-09-20T07:31:15.753Z,COMPLETE_FOR_MAPPABLE_ROWS,api,Nöbetçi eczaneler,https://acikveri.bizizmir.com/dataset/nobetci-eczaneler-ve-eczane-listesi,CC BY 4.0,İzmir Büyükşehir Belediyesi Açık Veri Portalı
pharmacy:226:38.438849:27.201636,duty_pharmacy,Duty Pharmacy,YENİ ÖZER ECZANESİ,38.438849,27.201636,ÇAMDİBİ,,ABDİ İPEKÇİ CD. 173 SK. NO:70/A,02324354596,,2026-09-20T08:00:00,2026-09-20T07:31:15.753Z,COMPLETE_FOR_MAPPABLE_ROWS,api,Nöbetçi eczaneler,https://acikveri.bizizmir.com/dataset/nobetci-eczaneler-ve-eczane-listesi,CC BY 4.0,İzmir Büyükşehir Belediyesi Açık Veri Portalı
