record_id,service_type,service_type_label,name,latitude,longitude,district,neighborhood,address,phone,detail,observed_at,retrieved_at,coverage_status,source_transport,source_dataset,source_dataset_url,source_license,source_attribution
hospital:3:Aliağa Devlet Hastanesi:38.787045353073:26.974983403458,hospital,Hospital,Aliağa Devlet Hastanesi,38.787045353073,26.974983403458,ALİAĞA,YENİ,RUMELİ 7,,,,2026-09-20T07:31:15.089Z,COMPLETE_FOR_MAPPABLE_ROWS,api,Hastaneler,https://acikveri.bizizmir.com/dataset/saglik-kurumlari,CC BY 4.0,İzmir Büyükşehir Belediyesi Açık Veri Portalı
hospital:19:Atatürk Eğitim Ve Araştırma Hastanesi:38.397750247105:27.103803036852,hospital,Hospital,Atatürk Eğitim Ve Araştırma Hastanesi,38.397750247105,27.103803036852,KARABAĞLAR,BASIN SİTESİ,POLAT 106,,Katip Çelebi Üniversitesi,,2026-09-20T07:31:15.089Z,COMPLETE_FOR_MAPPABLE_ROWS,api,Hastaneler,https://acikveri.bizizmir.com/dataset/saglik-kurumlari,CC BY 4.0,İzmir Büyükşehir Belediyesi Açık Veri Portalı
hospital:21:Atatürk Eğitim ve Araştırma Hastanesi Hatay Ek Hizmet Binası:38.402730405243:27.112206217001,hospital,Hospital,Atatürk Eğitim ve Araştırma Hastanesi Hatay Ek Hizmet Binası,38.402730405243,27.112206217001,KONAK,MURAT REİS,İNÖNÜ 256/1,,,,2026-09-20T07:31:15.089Z,COMPLETE_FOR_MAPPABLE_ROWS,api,Hastaneler,https://acikveri.bizizmir.com/dataset/saglik-kurumlari,CC BY 4.0,İzmir Büyükşehir Belediyesi Açık Veri Portalı
hospital:16:Bakırçay Üniversitesi Çiğli Eğitim Ve Araştırma Hastanesi:38.499592124744:27.049329130921,hospital,Hospital,Bakırçay Üniversitesi Çiğli Eğitim Ve Araştırma Hastanesi,38.499592124744,27.049329130921,ÇİĞLİ,YENİ MAHALLE,MURAT KARAYALÇIN 18,,,,2026-09-20T07:31:15.089Z,COMPLETE_FOR_MAPPABLE_ROWS,api,Hastaneler,https://acikveri.bizizmir.com/dataset/saglik-kurumlari,CC BY 4.0,İzmir Büyükşehir Belediyesi Açık Veri Portalı
hospital:20:Başkent Üniversitesi Fizik Tedavi ve Rehabilitasyon Merkezi:38.471817465631:27.086390383457,hospital,Hospital,Başkent Üniversitesi Fizik Tedavi ve Rehabilitasyon Merkezi,38.471817465631,27.086390383457,KARŞIYAKA,YALI,İDİL BİRET 7,,,,2026-09-20T07:31:15.089Z,COMPLETE_FOR_MAPPABLE_ROWS,api,Hastaneler,https://acikveri.bizizmir.com/dataset/saglik-kurumlari,CC BY 4.0,İzmir Büyükşehir Belediyesi Açık Veri Portalı
hospital:20:Başkent Üniversitesi Zübeyde Hanım Hastanesi:38.471847449883:27.086234480834,hospital,Hospital,Başkent Üniversitesi Zübeyde Hanım Hastanesi,38.471847449883,27.086234480834,KARŞIYAKA,YALI,6471/5 7,,,,2026-09-20T07:31:15.089Z,COMPLETE_FOR_MAPPABLE_ROWS,api,Hastaneler,https://acikveri.bizizmir.com/dataset/saglik-kurumlari,CC BY 4.0,İzmir Büyükşehir Belediyesi Açık Veri Portalı
hospital:20:Başkent Üniversitesi Zübeyde Hanım Uygulama ve Araştırma Merkezi:38.463922886683:27.093313936499,hospital,Hospital,Başkent Üniversitesi Zübeyde Hanım Uygulama ve Araştırma Merkezi,38.463922886683,27.093313936499,KARŞIYAKA,BOSTANLI,CAHER DUDAYEV 175,,,,2026-09-20T07:31:15.089Z,COMPLETE_FOR_MAPPABLE_ROWS,api,Hastaneler,https://acikveri.bizizmir.com/dataset/saglik-kurumlari,CC BY 4.0,İzmir Büyükşehir Belediyesi Açık Veri Portalı
hospital:7:Bayındır Devlet Hastanesi:38.22153488329:27.649600543116,hospital,Hospital,Bayındır Devlet Hastanesi,38.22153488329,27.649600543116,BAYINDIR,MİTHATPAŞA,HASTANE 35,,,,2026-09-20T07:31:15.089Z,COMPLETE_FOR_MAPPABLE_ROWS,api,Hastaneler,https://acikveri.bizizmir.com/dataset/saglik-kurumlari,CC BY 4.0,İzmir Büyükşehir Belediyesi Açık Veri Portalı
hospital:17:BAZEKOL Sada Hastanesi:38.591724533723:27.074375750551,hospital,Hospital,BAZEKOL Sada Hastanesi,38.591724533723,27.074375750551,MENEMEN,ESATPAŞA,ÇANAKKALE ASFALTI 171,,,,2026-09-20T07:31:15.089Z,COMPLETE_FOR_MAPPABLE_ROWS,api,Hastaneler,https://acikveri.bizizmir.com/dataset/saglik-kurumlari,CC BY 4.0,İzmir Büyükşehir Belediyesi Açık Veri Portalı
hospital:999:Bergama Necla-Mİithat Öztüre Devlet Hastanesi:39.118364239952:27.197993885881,hospital,Hospital,Bergama Necla-Mİithat Öztüre Devlet Hastanesi,39.118364239952,27.197993885881,BERGAMA,İSLAMSARAY,ADNAN MENDERES 223,,,,2026-09-20T07:31:15.089Z,COMPLETE_FOR_MAPPABLE_ROWS,api,Hastaneler,https://acikveri.bizizmir.com/dataset/saglik-kurumlari,CC BY 4.0,İzmir Büyükşehir Belediyesi Açık Veri Portalı
