record_id,service_type,service_type_label,name,latitude,longitude,district,neighborhood,address,phone,detail,observed_at,retrieved_at,coverage_status,source_transport,source_dataset,source_dataset_url,source_license,source_attribution
market:16:Açık Pazar Alanı:38.492999924537:27.056522484297,market,Street Market,Açık Pazar Alanı,38.492999924537,27.056522484297,ÇİĞLİ,ATAŞEHİR,ESKİ HAVAALANI,,,,2026-09-20T07:31:16.030Z,COMPLETE_FOR_MAPPABLE_ROWS,api,Semt pazarları,https://acikveri.bizizmir.com/dataset/semt-pazar-yerleri,CC BY 4.0,İzmir Büyükşehir Belediyesi Açık Veri Portalı
market:11:Adalet Pazaryeri:38.454410582864:27.179426071047,market,Street Market,Adalet Pazaryeri,38.454410582864,27.179426071047,BAYRAKLI,ADALET,2131/9,,Cumartesi günü kurulmaktadır,,2026-09-20T07:31:16.030Z,COMPLETE_FOR_MAPPABLE_ROWS,api,Semt pazarları,https://acikveri.bizizmir.com/dataset/semt-pazar-yerleri,CC BY 4.0,İzmir Büyükşehir Belediyesi Açık Veri Portalı
market:998:Akıncılar Pazaryeri:38.229056792394:27.973340448725,market,Street Market,Akıncılar Pazaryeri,38.229056792394,27.973340448725,ÖDEMİŞ,AKINCILAR,HÜRRİYET,,Cumartesi Günü Kurulmnaktadır,,2026-09-20T07:31:16.030Z,COMPLETE_FOR_MAPPABLE_ROWS,api,Semt pazarları,https://acikveri.bizizmir.com/dataset/semt-pazar-yerleri,CC BY 4.0,İzmir Büyükşehir Belediyesi Açık Veri Portalı
market:15:Aktepe Pazaryeri:38.35620809603:27.127234565491,market,Street Market,Aktepe Pazaryeri,38.35620809603,27.127234565491,GAZİEMİR,AKTEPE,ALTAN AYDIN 49,,Cuma günü kurulmaktadır,,2026-09-20T07:31:16.030Z,COMPLETE_FOR_MAPPABLE_ROWS,api,Semt pazarları,https://acikveri.bizizmir.com/dataset/semt-pazar-yerleri,CC BY 4.0,İzmir Büyükşehir Belediyesi Açık Veri Portalı
market:1001:Alaçatı Pazaryeri:38.279547927287:26.377459249093,market,Street Market,Alaçatı Pazaryeri,38.279547927287,26.377459249093,ÇEŞME,ALAÇATI,12060,,Cumartesi günü kurulmaktadır,,2026-09-20T07:31:16.030Z,COMPLETE_FOR_MAPPABLE_ROWS,api,Semt pazarları,https://acikveri.bizizmir.com/dataset/semt-pazar-yerleri,CC BY 4.0,İzmir Büyükşehir Belediyesi Açık Veri Portalı
market:7:Alaçık Pazar Alanı:38.268982464642:27.652655933951,market,Street Market,Alaçık Pazar Alanı,38.268982464642,27.652655933951,BAYINDIR,HİSARLIK,HİSARLIK B,,,,2026-09-20T07:31:16.030Z,COMPLETE_FOR_MAPPABLE_ROWS,api,Semt pazarları,https://acikveri.bizizmir.com/dataset/semt-pazar-yerleri,CC BY 4.0,İzmir Büyükşehir Belediyesi Açık Veri Portalı
market:3:Aliağa Belediyesi Kapalı Katlı Pazaryeri:38.79369335386:26.96624085106,market,Street Market,Aliağa Belediyesi Kapalı Katlı Pazaryeri,38.79369335386,26.96624085106,ALİAĞA,ATATÜRK,BEYAZIT 6,,Cumartesi (Kapalı Pazar Yeri),,2026-09-20T07:31:16.030Z,COMPLETE_FOR_MAPPABLE_ROWS,api,Semt pazarları,https://acikveri.bizizmir.com/dataset/semt-pazar-yerleri,CC BY 4.0,İzmir Büyükşehir Belediyesi Açık Veri Portalı
market:11:Alpaslan Kapalı Pazar Yeri:38.46987468904:27.16748725659,market,Street Market,Alpaslan Kapalı Pazar Yeri,38.46987468904,27.16748725659,BAYRAKLI,ALPASLAN,1620/15 2,,Çarşamba ve Cuma Günleri Kurulmaktadır.,,2026-09-20T07:31:16.030Z,COMPLETE_FOR_MAPPABLE_ROWS,api,Semt pazarları,https://acikveri.bizizmir.com/dataset/semt-pazar-yerleri,CC BY 4.0,İzmir Büyükşehir Belediyesi Açık Veri Portalı
market:9:Alpkent Semt Pazarı:38.168985303187:27.357047708611,market,Street Market,Alpkent Semt Pazarı,38.168985303187,27.357047708611,TORBALI,ALPKENT,NACİ TUNCEL,,Pazar Günleri Kurulmaktadır.,,2026-09-20T07:31:16.030Z,COMPLETE_FOR_MAPPABLE_ROWS,api,Semt pazarları,https://acikveri.bizizmir.com/dataset/semt-pazar-yerleri,CC BY 4.0,İzmir Büyükşehir Belediyesi Açık Veri Portalı
market:21:Alsancak Pazaryeri:38.435785135923:27.145022811118,market,Street Market,Alsancak Pazaryeri,38.435785135923,27.145022811118,KONAK,ALSANCAK,1456,,Pazar günü kurulmaktadır,,2026-09-20T07:31:16.030Z,COMPLETE_FOR_MAPPABLE_ROWS,api,Semt pazarları,https://acikveri.bizizmir.com/dataset/semt-pazar-yerleri,CC BY 4.0,İzmir Büyükşehir Belediyesi Açık Veri Portalı
market:21:Alsancak Pazaryeri:38.41915574316:27.141676795861,market,Street Market,Alsancak Pazaryeri,38.41915574316,27.141676795861,KONAK,PAZARYERİ,945,,,,2026-09-20T07:31:16.030Z,COMPLETE_FOR_MAPPABLE_ROWS,api,Semt pazarları,https://acikveri.bizizmir.com/dataset/semt-pazar-yerleri,CC BY 4.0,İzmir Büyükşehir Belediyesi Açık Veri Portalı
market:2:Altındağ Merkez Pazar Yeri:38.417122273435:27.201655389076,market,Street Market,Altındağ Merkez Pazar Yeri,38.417122273435,27.201655389076,BORNOVA,MERKEZ,4505,,Cuma günü kurulmaktadır,,2026-09-20T07:31:16.030Z,COMPLETE_FOR_MAPPABLE_ROWS,api,Semt pazarları,https://acikveri.bizizmir.com/dataset/semt-pazar-yerleri,CC BY 4.0,İzmir Büyükşehir Belediyesi Açık Veri Portalı
