record_id,service_type,service_type_label,name,latitude,longitude,district,neighborhood,address,phone,detail,observed_at,retrieved_at,coverage_status,source_transport,source_dataset,source_dataset_url,source_license,source_attribution
pharmacy:1:38.425863:27.19776,pharmacy,Pharmacy,ALTINDAG ECZANESİ,38.425863,27.19776,ALTINDAĞ,,KEMALPAŞA CD. 193/A,02324334601,,,2026-09-20T07:31:15.702Z,COMPLETE_FOR_MAPPABLE_ROWS,api,Tüm eczaneler,https://acikveri.bizizmir.com/dataset/nobetci-eczaneler-ve-eczane-listesi,CC BY 4.0,İzmir Büyükşehir Belediyesi Açık Veri Portalı
pharmacy:2:38.425614:27.200799,pharmacy,Pharmacy,AYAS ECZANESİ,38.425614,27.200799,ALTINDAĞ,,ZAFER MAH. KEMALPAŞA CAD. NO:118/A,02324334322,,,2026-09-20T07:31:15.702Z,COMPLETE_FOR_MAPPABLE_ROWS,api,Tüm eczaneler,https://acikveri.bizizmir.com/dataset/nobetci-eczaneler-ve-eczane-listesi,CC BY 4.0,İzmir Büyükşehir Belediyesi Açık Veri Portalı
pharmacy:3:38.42579:27.196936,pharmacy,Pharmacy,YENI HOSGÖR ECZANESİ,38.42579,27.196936,ALTINDAĞ,,KEMALPASA CAD.NO:60/B ALTINDAG,02324334569,,,2026-09-20T07:31:15.702Z,COMPLETE_FOR_MAPPABLE_ROWS,api,Tüm eczaneler,https://acikveri.bizizmir.com/dataset/nobetci-eczaneler-ve-eczane-listesi,CC BY 4.0,İzmir Büyükşehir Belediyesi Açık Veri Portalı
pharmacy:4:38.422392:27.205131,pharmacy,Pharmacy,YILDIZ ECZANESİ,38.422392,27.205131,ALTINDAĞ,,ZAFER MAH. YENER CAD. NO:25/B,02324676727,,,2026-09-20T07:31:15.702Z,COMPLETE_FOR_MAPPABLE_ROWS,api,Tüm eczaneler,https://acikveri.bizizmir.com/dataset/nobetci-eczaneler-ve-eczane-listesi,CC BY 4.0,İzmir Büyükşehir Belediyesi Açık Veri Portalı
pharmacy:5:38.429488:27.19608,pharmacy,Pharmacy,NEHIR ECZANESİ,38.429488,27.19608,ALTINDAĞ,,4209 SK. NO:31/A,02324619045,,,2026-09-20T07:31:15.702Z,COMPLETE_FOR_MAPPABLE_ROWS,api,Tüm eczaneler,https://acikveri.bizizmir.com/dataset/nobetci-eczaneler-ve-eczane-listesi,CC BY 4.0,İzmir Büyükşehir Belediyesi Açık Veri Portalı
pharmacy:6:38.471485:27.187549,pharmacy,Pharmacy,ÖZEPIK ECZANESİ,38.471485,27.187549,ATATÜRK,,OSMANGAZI MAH. 597 SOK. NO:34/A,02323713756,,,2026-09-20T07:31:15.702Z,COMPLETE_FOR_MAPPABLE_ROWS,api,Tüm eczaneler,https://acikveri.bizizmir.com/dataset/nobetci-eczaneler-ve-eczane-listesi,CC BY 4.0,İzmir Büyükşehir Belediyesi Açık Veri Portalı
pharmacy:7:38.473241:27.185869,pharmacy,Pharmacy,OSMANGAZI ECZANESİ,38.473241,27.185869,ATATÜRK,,YAVUZ CAD. OSMANGAZI MAH. 289,02323710117,,,2026-09-20T07:31:15.702Z,COMPLETE_FOR_MAPPABLE_ROWS,api,Tüm eczaneler,https://acikveri.bizizmir.com/dataset/nobetci-eczaneler-ve-eczane-listesi,CC BY 4.0,İzmir Büyükşehir Belediyesi Açık Veri Portalı
pharmacy:9:38.3845:27.0542,pharmacy,Pharmacy,BALÇOVA ECZANESİ,38.3845,27.0542,BALÇOVA,,TELEFERIK MAH.ÖZ SAGLIK SOKAK NO:46/A BALÇOVA,02322790865,,,2026-09-20T07:31:15.702Z,COMPLETE_FOR_MAPPABLE_ROWS,api,Tüm eczaneler,https://acikveri.bizizmir.com/dataset/nobetci-eczaneler-ve-eczane-listesi,CC BY 4.0,İzmir Büyükşehir Belediyesi Açık Veri Portalı
pharmacy:10:38.391814:27.058121,pharmacy,Pharmacy,ALPER AKIN ECZANESİ,38.391814,27.058121,BALÇOVA,,EĞİTİM MAH. ATA CAD. NO:51/A,02322787035,,,2026-09-20T07:31:15.702Z,COMPLETE_FOR_MAPPABLE_ROWS,api,Tüm eczaneler,https://acikveri.bizizmir.com/dataset/nobetci-eczaneler-ve-eczane-listesi,CC BY 4.0,İzmir Büyükşehir Belediyesi Açık Veri Portalı
pharmacy:11:38.398223:27.105877,pharmacy,Pharmacy,ÖZBURCU ECZANESİ,38.398223,27.105877,BASIN SİTESİ,,HASAN TAHSIN CAD. 253 SOK. NO:137/A,02322433622,,,2026-09-20T07:31:15.702Z,COMPLETE_FOR_MAPPABLE_ROWS,api,Tüm eczaneler,https://acikveri.bizizmir.com/dataset/nobetci-eczaneler-ve-eczane-listesi,CC BY 4.0,İzmir Büyükşehir Belediyesi Açık Veri Portalı
